name_x,name_y,CoInvestments
,AKVaganza_Unternehmergesellschaft_,1
,Cherry_Ventures_,1
,La_Plata_,1
,Manoa_Ventures_,1
10x_Founders_,Florian_Huber_Beteiligungen_,1
10x_Founders_,HV_Holtzbrinck_Ventures_,1
10x_Founders_,Mercutio_,1
10x_Founders_,Pausder_Ventures_,1
10x_Founders_,ROMM_Holding_,1
10x_Founders_,Roskopf_Ventures_,1
AENU_,ARES_CAPITAL_ADVISERS_,1
AENU_,Aurum_Impact_Invest_,1
AENU_,Kupke_,1
AENU_,Pausder_Ventures_,1
AENU_,Vesta_Venture_Holding_,1
AKVaganza_Unternehmergesellschaft_,,1
AKVaganza_Unternehmergesellschaft_,Cherry_Ventures_,1
AKVaganza_Unternehmergesellschaft_,Entrepreneur_First_Operations_Limited,1
AKVaganza_Unternehmergesellschaft_,La_Plata_,1
AKVaganza_Unternehmergesellschaft_,Manoa_Ventures_,1
AKVaganza_Unternehmergesellschaft_,Tiny_,1
ARES_CAPITAL_ADVISERS_,AENU_,1
ARES_CAPITAL_ADVISERS_,Aurum_Impact_Invest_,1
ARES_CAPITAL_ADVISERS_,Meinhardt_Ventures__,1
ARES_CAPITAL_ADVISERS_,Vesta_Venture_Holding_,1
Alexander_Ludwig_Friedrich_Christian_Fuchs,Dr._Alfred_Heinrich_Georg_Spieker,2
Alvio_,DSH_Ventures_,1
Alvio_,DSR_Ventures_,1
Alvio_,Fleetblick_Ventures__,1
Alvio_,HV_Holtzbrinck_Ventures_,1
Alvio_,La_Plata_,1
Alvio_,Lino_,2
Alvio_,Manoa_Ventures_,1
Alvio_,Mercutio_,1
Alvio_,OyFri_,2
Alvio_,PK_Projects_,3
Alvio_,Pausder_Ventures_,1
Alvio_,Picus_Capital_,1
Alvio_,ROMM_Holding_,2
Alvio_,Roskopf_Ventures_,2
Alvio_,Sebastian_Schuon_Investments_,1
Alvio_,Tiny_,1
Alvio_,WEFA_,2
Aurum_Impact_Invest_,AENU_,1
Aurum_Impact_Invest_,ARES_CAPITAL_ADVISERS_,1
Aurum_Impact_Invest_,Vesta_Venture_Holding_,1
Charles_Songhurst,Cherry_Ventures_,1
Charles_Songhurst,MH2_Capital_,1
Charles_Songhurst,Rivus_Ventures_,1
Charles_Songhurst,"btov_Digital_Technologies_II_S.C.S.,_SICAR",1
Cherry_Ventures_,,1
Cherry_Ventures_,AKVaganza_Unternehmergesellschaft_,1
Cherry_Ventures_,Charles_Songhurst,1
Cherry_Ventures_,La_Plata_,1
Cherry_Ventures_,MH2_Capital_,1
Cherry_Ventures_,Manoa_Ventures_,1
Cherry_Ventures_,Pink_Capital_,1
Cherry_Ventures_,Rivus_Ventures_,1
Cherry_Ventures_,"btov_Digital_Technologies_II_S.C.S.,_SICAR",1
DSH_Ventures_,Alvio_,1
DSH_Ventures_,Fleetblick_Ventures__,2
DSH_Ventures_,Florian_Huber_Beteiligungen_,1
DSH_Ventures_,OyFri_,1
DSH_Ventures_,PK_Projects_,1
DSH_Ventures_,Pausder_Ventures_,2
DSH_Ventures_,ROMM_Holding_,1
DSH_Ventures_,Roskopf_Ventures_,1
DSH_Ventures_,Tiny_,1
DSH_Ventures_,WEFA_,1
DSR_Ventures_,Alvio_,1
DSR_Ventures_,HV_Holtzbrinck_Ventures_,2
DSR_Ventures_,La_Plata_,1
DSR_Ventures_,Lino_,1
DSR_Ventures_,Manoa_Ventures_,1
DSR_Ventures_,Mercutio_,1
DSR_Ventures_,OyFri_,1
DSR_Ventures_,PK_Projects_,1
DSR_Ventures_,Picus_Capital_,1
DSR_Ventures_,ROMM_Holding_,1
DSR_Ventures_,Roskopf_Ventures_,1
DSR_Ventures_,Sebastian_Schuon_Investments_,1
DSR_Ventures_,WEFA_,1
Dr._Alfred_Heinrich_Georg_Spieker,Alexander_Ludwig_Friedrich_Christian_Fuchs,2
Entrepreneur_First_Operations_Limited,AKVaganza_Unternehmergesellschaft_,1
Entrepreneur_First_Operations_Limited,Tiny_,1
Fleetblick_Ventures__,Alvio_,1
Fleetblick_Ventures__,DSH_Ventures_,2
Fleetblick_Ventures__,Florian_Huber_Beteiligungen_,1
Fleetblick_Ventures__,OyFri_,1
Fleetblick_Ventures__,PK_Projects_,1
Fleetblick_Ventures__,Pausder_Ventures_,2
Fleetblick_Ventures__,ROMM_Holding_,1
Fleetblick_Ventures__,Roskopf_Ventures_,1
Fleetblick_Ventures__,Tiny_,1
Fleetblick_Ventures__,WEFA_,1
Florian_Huber_Beteiligungen_,10x_Founders_,1
Florian_Huber_Beteiligungen_,DSH_Ventures_,1
Florian_Huber_Beteiligungen_,Fleetblick_Ventures__,1
Florian_Huber_Beteiligungen_,Mercutio_,1
Florian_Huber_Beteiligungen_,Pausder_Ventures_,1
Florian_Huber_Beteiligungen_,ROMM_Holding_,1
Florian_Huber_Beteiligungen_,Roskopf_Ventures_,1
HV_Holtzbrinck_Ventures_,10x_Founders_,1
HV_Holtzbrinck_Ventures_,Alvio_,1
HV_Holtzbrinck_Ventures_,DSR_Ventures_,2
HV_Holtzbrinck_Ventures_,La_Plata_,1
HV_Holtzbrinck_Ventures_,Lino_,1
HV_Holtzbrinck_Ventures_,Manoa_Ventures_,1
HV_Holtzbrinck_Ventures_,Mercutio_,1
HV_Holtzbrinck_Ventures_,Next47_,3
HV_Holtzbrinck_Ventures_,OyFri_,1
HV_Holtzbrinck_Ventures_,PK_Projects_,1
HV_Holtzbrinck_Ventures_,Pausder_Ventures_,1
HV_Holtzbrinck_Ventures_,ROMM_Holding_,1
HV_Holtzbrinck_Ventures_,Roskopf_Ventures_,1
HV_Holtzbrinck_Ventures_,WEFA_,1
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Ashok_Varadharajan,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Gopi_Kannappan,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Saravanan_Jaichandaran,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Vijay_Pravin_Maharajan,2
Herr_Ashok_Varadharajan,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Ashok_Varadharajan,Herr_Gopi_Kannappan,2
