name_x;name_y;CoInvestments
Alexander Ludwig Friedrich Christian Fuchs;Companisto Trust Service XVII GmbH;2
Alexander Ludwig Friedrich Christian Fuchs;Dr. Alfred Heinrich Georg Spieker;2
Alvio GmbH;Lino GmbH;2
Alvio GmbH;PK Projects GmbH;2
Bayern Kapital Innovationsfonds EFRE GmbH & Co. KG;High-Tech Griinderfonds IV GmbH & Co. KG;2
Companisto Trust Service XVII GmbH;Alexander Ludwig Friedrich Christian Fuchs;2
Companisto Trust Service XVII GmbH;Dr. Alfred Heinrich Georg Spieker;2
Dr. Alfred Heinrich Georg Spieker;Alexander Ludwig Friedrich Christian Fuchs;2
Dr. Alfred Heinrich Georg Spieker;Companisto Trust Service XVII GmbH;2
Entrepreneur First Operations Limited;eNugget Ventures UG (haftungsbeschrankt);2
Herr Ajay Prashanth Narasaraju Gajendraraju;Herr Ashok Varadharajan;2
Herr Ajay Prashanth Narasaraju Gajendraraju;Herr Gopi Kannappan;2
Herr Ajay Prashanth Narasaraju Gajendraraju;Herr Saravanan Jaichandaran;2
Herr Ajay Prashanth Narasaraju Gajendraraju;Herr Vijay Pravin Maharajan;2
Herr Ashok Varadharajan;Herr Ajay Prashanth Narasaraju Gajendraraju;2
Herr Ashok Varadharajan;Herr Gopi Kannappan;2
Herr Ashok Varadharajan;Herr Saravanan Jaichandaran;2
Herr Ashok Varadharajan;Herr Vijay Pravin Maharajan;2
Herr Gopi Kannappan;Herr Ajay Prashanth Narasaraju Gajendraraju;2
Herr Gopi Kannappan;Herr Ashok Varadharajan;2
Herr Gopi Kannappan;Herr Saravanan Jaichandaran;2
Herr Gopi Kannappan;Herr Vijay Pravin Maharajan;2
Herr Saravanan Jaichandaran;Herr Ajay Prashanth Narasaraju Gajendraraju;2
Herr Saravanan Jaichandaran;Herr Ashok Varadharajan;2
Herr Saravanan Jaichandaran;Herr Gopi Kannappan;2
Herr Saravanan Jaichandaran;Herr Vijay Pravin Maharajan;2
Herr Vijay Pravin Maharajan;Herr Ajay Prashanth Narasaraju Gajendraraju;2
Herr Vijay Pravin Maharajan;Herr Ashok Varadharajan;2
Herr Vijay Pravin Maharajan;Herr Gopi Kannappan;2
Herr Vijay Pravin Maharajan;Herr Saravanan Jaichandaran;2
High-Tech Griinderfonds IV GmbH & Co. KG;Bayern Kapital Innovationsfonds EFRE GmbH & Co. KG;2
