year_of_incorporation,startup_name,community_round,angel_syndication,funding_round_type,changed_shareholder_structure,hot_spot,average_status,number_external_shareholders,number_angels
2017,MONAVINCI GmbH,0,1,0,0,1,0.0,7,2
2017,CIKONI GmbH,0,0,1,0,0,0.0,2,1
2017,wealthpilot GmbH,1,1,1,1,1,0.0,18,5
2017,ME Mobile Education GmbH,0,0,0,0,0,0.0,1,1
2017,Communicate2Integrate GmbH,0,0,0,1,1,0.0,1,1
2017,Uniberry GmbH,0,0,1,0,0,0.0,3,1
2017,EINHUNDERT Energie GmbH,1,1,1,1,0,0.0,20,6
2017,Parloa GmbH,0,0,1,0,1,0.0,4,1
2017,Digital Apartment GmbH,0,1,0,0,0,1.0,2,2
2017,Nuventura GmbH,1,1,1,1,1,1.0,25,14
2017,Your Driver GmbH,0,0,0,0,0,0.0,1,1
2017,Viamonda GmbH,0,0,1,1,0,0.0,3,1
2017,Luminovo GmbH,1,1,1,1,1,1.0,13,7
2017,MyBiotech GmbH,0,0,1,1,0,0.0,8,1
2017,Renumics GmbH,0,0,0,0,0,0.0,3,1
2017,Perfood GmbH,0,0,1,1,0,0.0,17,1
2017,CapLab GmbH,0,0,1,0,0,0.0,6,1
2017,CheckForPet GmbH,0,0,0,1,0,0.0,3,1
2017,CAPTIQ GmbH,0,1,0,1,0,0.0,19,2
2017,Go Crush GmbH,1,1,1,1,0,0.0,11,3
2017,Laserhub GmbH,1,1,1,1,0,1.0,20,7
2017,JET CEUTICALS GmbH,1,1,1,0,1,0.0,6,2
2017,Feral GmbH,1,1,1,1,1,1.0,22,6
2017,Trusted Music UG (haftungsbeschränkt),1,0,0,0,0,0.0,2,1
2017,myRapunzel GmbH,0,1,0,0,0,0.0,2,2
2017,synatos GmbH,0,0,0,0,1,0.0,1,1
2017,GRITSpot GmbH,1,1,1,1,1,1.0,11,5
2017,KitchenAdvisor GmbH,0,0,0,1,0,0.0,1,1
2017,promejo GmbH,0,0,0,0,0,0.0,2,1
2017,YFood Labs GmbH,1,0,1,1,1,0.0,8,1
2017,BELLISSY Deutschland GmbH,1,0,1,1,0,0.0,3,1
2017,Recrudo GmbH,0,0,0,0,0,0.0,2,1
2017,Rhyk Technologies GmbH,1,1,1,1,0,1.0,11,3
2017,Last Message GmbH,0,0,1,0,0,0.0,11,1
2017,INSTICUBE GmbH,0,0,1,0,1,0.0,5,1
2017,repareo GmbH,1,1,1,1,1,1.0,5,2
2017,LemonOne GmbH,1,1,1,1,1,1.0,11,3
2017,Interior Demand I/O GmbH,1,0,1,1,0,0.0,6,1
2017,BoomByte Games GmbH,0,0,0,1,1,0.0,2,1
2017,memetis GmbH,1,1,1,1,0,0.0,10,2
2017,water stuff & sun GmbH,0,1,1,0,1,0.0,7,2
2017,cloudradar GmbH,0,1,1,0,1,1.0,5,3
2017,jetlite GmbH,1,0,0,0,0,0.0,9,1
2017,Polyteia GmbH,0,0,1,1,1,0.0,3,1
2017,Plantura GmbH,1,1,1,1,1,1.0,11,5
2017,Othoz GmbH,1,1,1,1,1,1.0,15,4
2017,German Bionic Systems GmbH,0,1,1,1,1,0.0,22,3
2017,Veritas Entertainment GmbH,0,1,1,0,1,0.0,6,3
2017,SI Stuttgart Instruments GmbH,0,0,0,0,0,0.0,1,1
2017,troy GmbH,0,0,1,1,0,0.0,19,1
2017,loopingo GmbH,1,0,1,1,1,0.0,6,1
2017,STREET PRO GmbH,1,1,1,0,0,0.0,6,2
2017,SIRPLUS GmbH,1,1,1,1,1,1.0,10,5
2017,PROLIANCE GmbH,0,0,1,1,1,0.0,7,1
2017,CT-Limousinen Service GmbH,0,1,0,0,0,1.0,3,2
2017,lifespin GmbH,1,1,1,1,0,0.0,15,2
2017,Signatrix GmbH,0,1,1,1,1,0.0,7,3
2017,Nova Products GmbH,1,1,1,1,1,1.0,18,6
2017,airfocus GmbH,1,1,1,1,0,1.0,5,2
2017,Legal Hero GmbH,0,1,1,1,1,0.0,11,2
2017,Crew Gel GmbH,0,0,0,0,0,0.0,3,1
2017,StoryBox GmbH,1,0,1,1,1,0.0,4,1
