startup_location;count;mapped_location
Berlin;2357;Berlin
München;824;Munich
Hamburg;757;Hamburg
Köln;318;Cologne
Düsseldorf;248;Cologne
Frankfurt am Main;241;Frankfurt
Stuttgart;184;Stuttgart
Karlsruhe;126;Stuttgart
Dresden;126;other
Aachen;104;Cologne
Hannover;103;other
Leipzig;95;Leipzig
Mannheim;78;Frankfurt
Nürnberg;76;other
Potsdam;71;Berlin
Münster;67;other
Darmstadt;64;Frankfurt
Bremen;64;other
Heidelberg;63;Frankfurt
Bonn;62;Cologne
Dortmund;55;Cologne
Freiburg im Breisgau;55;other
Mainz;50;Frankfurt
Essen;50;Cologne
Bochum;45;Cologne
Kiel;42;other
Augsburg;40;Munich
Grünwald;39;Munich
Saarbrücken;35;other
Bielefeld;34;other
Braunschweig;33;other
Jena;33;Leipzig
Wiesbaden;33;Frankfurt
Regensburg;31;other
Paderborn;31;other
Würzburg;30;other
Ulm;27;Stuttgart
Chemnitz;27;Leipzig
Wuppertal;27;Cologne
Magdeburg;27;other
Göttingen;26;other
Erlangen;26;other
Fürth;24;other
Konstanz;23;other
Osnabrück;22;other
Rostock;21;other
Tübingen;19;Stuttgart
Oldenburg;19;other
Krefeld;18;Cologne
Bad Homburg v. d. Höhe;17;Frankfurt
Planegg;17;Munich
Gräfelfing;17;Munich
Ludwigsburg;17;Stuttgart
Halle (Saale);17;Leipzig
Mönchengladbach;17;Cologne
Lübeck;16;Hamburg
Ingolstadt;16;Munich
Kaiserslautern;15;Mannheim
Siegen;15;Cologne
Garching b.München;15;Munich
Gilching;14;Munich
Offenburg;14;other
Mülheim an der Ruhr;13;Cologne
Bergisch Gladbach;13;Cologne
Koblenz;13;Cologne
Duisburg;13;Cologne
Solingen;13;Cologne
Ismaning;13;Munich
Gießen;13;Frankfurt
Taufkirchen;12;Munich
Unterföhring;12;Munich
Monheim am Rhein;12;Cologne
Trier;12;other
Heilbronn;12;Stuttgart
Leverkusen;12;Cologne
Ratingen;12;Cologne
Langenfeld;12;Cologne
Cottbus;12;other
Meerbusch;11;Cologne
Erfurt;11;other
Ettlingen;11;Stuttgart
Kassel;11;other
Kempten (Allgäu);11;other
Ilmenau;10;other
Leinfelden-Echterdingen;10;Stuttgart
Germering;10;Munich
Rosenheim;10;Munich
Aalen;9;Stuttgart
Reutlingen;9;Stuttgart
Offenbach am Main;9;Frankfurt
Bruchsal;9;Stuttgart
Freising;9;Munich
Wildau;9;Berlin
Flensburg;9;other
Eschborn;9;Frankfurt
Bayreuth;9;other
Willich;9;Cologne
Unterhaching;8;Munich
Starnberg;8;Munich
Kronberg im Taunus;8;Frankfurt
Esslingen am Neckar;8;Stuttgart
Neuss;8;Cologne
Hildesheim;8;other
Aschaffenburg;8;Frankfurt
Herzogenrath;8;Cologne
Ostfildern;8;Stuttgart
Bocholt;8;other
Fulda;8;other
Hilden;7;Cologne
Lüneburg;7;Hamburg
Herrsching a.Ammersee;7;Munich
Bad Soden am Taunus;7;Frankfurt
Böblingen;7;Stuttgart
Norderstedt;7;Hamburg
Recklinghausen;7;Cologne
Pforzheim;7;Stuttgart
Teltow;7;Berlin
Herford;7;other
Freiberg;7;other
Greifswald;6;other
Kirchheim unter Teck;6;Stuttgart
Pullach i.Isartal;6;Munich
Bamberg;6;other
Kempen;6;Cologne
Isernhagen;6;other
Leonberg;6;Stuttgart
Baden-Baden;6;Stuttgart
Neu-Ulm;6;Stuttgart
Hamm;6;other
Haar;6;Munich
Falkensee;6;Berlin
Holzkirchen;6;other
Großostheim;6;Frankfurt
Deggendorf;6;other
Hürth;6;Cologne
Schönefeld;6;Berlin
Kleinmachnow;6;Berlin
Dachau;6;Munich
Wesel;5;other
Walldorf;5;Stuttgart
Kulmbach;5;other
Düren;5;Cologne
Bensheim;5;Frankfurt
Iserlohn;5;Cologne
Pulheim;5;Cologne
Inning a.Ammersee;5;Munich
Erkrath;5;Cologne
Amberg;5;other
Lohmar;5;Cologne
Radebeul;5;other
Witten;5;Cologne
Schwerin;5;other
Homburg;5;other
Minden;5;other
Berg;5;other
Villingen-Schwenningen;5;other
Königstein im Taunus;5;Frankfurt
Gütersloh;5;other
Hof;5;other
Sindelfingen;5;Stuttgart
Gelsenkirchen;5;Cologne
Bad Vilbel;5;Frankfurt
Wolfratshausen;5;Munich
Hennigsdorf;5;Berlin
Neu-Isenburg;5;Frankfurt
Mettmann;5;Cologne
Alzenau;5;Frankfurt
Weßling;5;Munich
Oberhausen;5;Cologne
Troisdorf;5;Cologne
Worms;5;Frankfurt
Herrenberg;5;Stuttgart
Haltern am See;5;other
Siegburg;5;Cologne
Poing;5;Munich
Bad Honnef;5;Cologne
Weiden i.d.OPf;5;other
Idstein;5;Frankfurt
Arnsberg;5;other
St. Wendel;5;other
Tettnang;5;other
Straßlach-Dingharting;4;Munich
Lippstadt;4;other
Horb am Neckar;4;Stuttgart
Großwallstadt;4;Frankfurt
Oberhaching;4;Munich
Frechen;4;Cologne
Friedrichshafen;4;other
Schwäbisch Gmünd;4;Stuttgart
Pöcking;4;Munich
Bergheim;4;other
Hann. Münden;4;other
Coburg;4;other
Wedel;4;Hamburg
Weil der Stadt;4;Stuttgart
Brühl;4;Cologne
Leingarten;4;Stuttgart
Castrop-Rauxel;4;Cologne
Dieburg;4;Frankfurt
Singen Hohentwiel;4;other
Groß-Umstadt;4;Frankfurt
Putzbrunn;4;Munich
Marburg;4;Frankfurt
Hagenbach;4;other
Oranienburg;4;Berlin
Sauerlach;4;Munich
Kelheim;4;other
Lorch;4;Stuttgart
Neuried;4;other
Königswinter;4;Cologne
Hofheim am Taunus;4;Frankfurt
Rösrath;4;Cologne
Leer;4;other
Sankt Augustin;4;Cologne
Gröbenzell;4;Munich
Olching;4;Munich
Straubing;4;other
Roetgen;4;Cologne
Nordhorn;4;other
Weiterstadt;4;Frankfurt
Schweinfurt;4;other
Trebbin;4;Berlin
Zossen;4;Berlin
Altenberge;4;other
Langenhagen;4;other
Neubiberg;4;Munich
Rheinfelden Baden;4;other
Ludwigshafen am Rhein;4;Frankfurt
Nürtingen;4;Stuttgart
Garbsen;4;other
Planegg-Martinsried;4;Munich
Kirchheim b.München;4;Munich
Hameln;4;other
Baierbrunn;4;Munich
Lüdenscheid;4;Cologne
Kleve;4;other
Landsberg am Lech;4;Munich
Ludwigshafen;4;Frankfurt
Grasbrunn;4;Munich
Fellbach;4;Stuttgart
Eberswalde;4;Berlin
Weimar;4;other
Leutenbach;3;other
Zirndorf;3;other
Plauen;3;other
Dossenheim;3;other
Kelkheim (Taunus);3;Frankfurt
Würselen;3;Cologne
Blankenfelde-Mahlow;3;Berlin
Unna;3;other
Straelen;3;Cologne
Ravensburg;3;other
Haan;3;Cologne
Bruckmühl;3;Munich
