startup_id;startup_name;date_incorporated;register_identification_number;register;startup_location;startup_industry;startup_website;LinkedIn;;
startup_1;BCN Food Tech GmbH;2021-12-31;HRB 272187;München;München;Lebensmittel;;;1;BCN 
startup_2;clever unlock UG (haftungsbeschränkt);2021-12-31;HRB 39734;Leipzig;Leipzig;Software;http://cleverunlock.de/;;2;
startup_3;Craft Clarity GmbH;2021-12-31;HRB 272192;München;München;Dienstleistung;https://craft-clarity.com/;https://www.linkedin.com/company/craft-clarity/;3;
startup_4;APFL Advanced Pet Food Labs UG (haftungsbeschränkt);2021-12-30;HRB 237217 B;Charlottenburg (Berlin);Berlin;eCommerce;;;4;
startup_5;AT - Alpi Tech UG (haftungsbeschränkt);2021-12-30;HRB 272118;München;München;Landwirtschaft;https://alpi.tech/;;5;
startup_6;avirtually UG (haftungsbeschränkt);2021-12-30;HRB 125874;Frankfurt am Main;Frankfurt am Main;Medien;;;6;
startup_7;Bambustex GmbH;2021-12-30;HRB 725691;Freiburg;Offenburg;eCommerce;https://www.bambustex.de/;;7;
startup_8;Blockchain Labs UG (haftungsbeschränkt);2021-12-30;HRB 725697;Freiburg;Rheinfelden Baden;Blockchain / Crypto;;;8;
startup_9;Destinaries GmbH;2021-12-30;HRB 206590;Göttingen;Bovenden;Tourismus;https://www.destinaries.com/;;9;
startup_10;Ethernos Technology UG (haftungsbeschränkt);2021-12-30;HRB 237227 B;Charlottenburg (Berlin);Berlin;Software;https://www.ethernos.tech/;https://www.linkedin.com/company/ethernos/;10;
startup_11;Htwo Power 'n' Heat GmbH;2021-12-30;HRB 36196 P;Potsdam;Potsdam;Energie;;;11;
startup_12;Q.24 GmbH;2021-12-30;HRB 10179;Iserlohn;Halver;Hardware;;;12;
startup_13;REnergi UG (haftungsbeschränkt);2021-12-30;HRB 25421;Aachen;Aachen;Energie;https://renergi.de/;;13;
startup_14;Revalu Impact AG;2021-12-30;HRB 272158;München;München;Umwelttechnologie;http://revalu.io/;https://www.linkedin.com/company/revalu-impact-ag/;14;
startup_15;SeeMe HealthCare Technologies UG (haftungsbeschränkt);2021-12-30;HRB 272116;München;München;Medizin;;;15;
