startup_id;startup_name;startup_website;
10856;Cosuno Ventures GmbH;https://www.cosuno.de/;active
10146;Material24 GmbH;https://www.materialrest24.de/;active
7765;Aeditive GmbH;https://www.aeditive.de/;active
5542;blonder GmbH;http://blonder.de/;pivot
3900;Guardian Technologies GmbH;https://guardian-technologies.com/;closed
12162;Roobeo GmbH;https://www.roobeo.com/;active
678;myterial GmbH;http://myterial.de/;active
11561;Sharemac GmbH;https://www.sharemac.de/;active
7788;CLT Creative Learning Technologies GmbH;https://www.foldio.tech/;active
7642;LIFT for future GmbH;https://www.liftforfuture.com/;closed
1429;Themis Digital GmbH;https://www.themis.eu/;closed
3021;Edurino GmbH;https://edurino.com/;active
16984;StudySmarter UG (haftungsbeschränkt);https://www.studysmarter.de/;active
6534;Better Basics Laborbedarf GmbH;http://better-basics-laborbedarf.de/;active
318;Brain4Media GmbH;https://berufvr.com/impressum/;active
6303;Gaiali GmbH;https://gaiali.com/;active
3503;Tomorrows Education GmbH;https://www.tomorrows.education/;active
13132;cabuu GmbH;https://www.cabuu.app;active
3894;Trana GmbH;https://trana.co/;closed
13063;StackFuel GmbH;https://stackfuel.com/de/;active
5704;BCTSL & Services GmbH;https://bctsl.de/;active
9393;Immutable Insight GmbH;https://www.blockchainfonds.com/;active
11385;Cyberian Mine GmbH;https://cyberianmine.de;active
10111;coindex GmbH;https://www.coindex.de/;closed
9577;Blocksize Capital GmbH;http://blocksize-capital.com;active
7313;BlueLotus.AI GmbH;https://www.bluelotus.ai/;active
14860;Pastalab UG (haftungsbeschränkt);https://pastalab.de/;active
8682;theBlue.ai GmbH;https://theblue.ai/;active
13893;MVPF Technologies GmbH;https://mvpfactory.co;active
13485;Digital Apartment GmbH;https://www.digitalapartment.de/;active
5735;Studicon GmbH;https://studicon.consulting/;active
7170;TechMiners GmbH;https://www.techminers.org/;active
5958;1648 Factory GmbH;https://1648factory.com/;active
3864;nFRONTIER GmbH;https://nfrontier.de/;active
5034;handly GmbH;https://handly.app/;active
2737;GA. Digital GmbH;https://ga-universe.com/;active
5247;embrace Technologies GmbH;http://embrace-technologies.de/;active
2707;CUDA GmbH;;active
9127;VISARIGHT GmbH;https://visaright.eu/;active
7984;Power I.D. GmbH;https://www.powerid.de/;active
8110;DayPepper GmbH;https://daypepper.com;closed
4660;Vertrical GmbH;https://vertrical.com/;active
3079;IIoT Use Case GmbH;https://www.iotusecase.com/;active
10266;voiio GmbH;https://voiio.de/;active
6401;Brance GmbH;https://brnc.io/;active
5026;Sunvigo GmbH;https://www.sunvigo.de/;active
10498;AUXOLAR GmbH;https://www.auxolar.de/;active
3806;Theion GmbH;https://www.theion.de/;active
3651;Stoff2 GmbH;http://stoff2.com/;active
13319;Eigensonne GmbH;https://www.eigensonne.de;active
13840;water stuff & sun GmbH;https://www.waterstuffandsun.com/;active
7709;Marvel Fusion GmbH;https://www.marvelfusion.io/;
12533;SCIO Technology GmbH;https://www.scio-technology.com/;
1899;LEX AI GmbH;https://www.lexai.co/;
8799;TraFinScout GmbH;https://trafinscout.com;
10723;Finbc GmbH;https://www.finbc.io/;
9594;Horeca Digital System GmbH;https://ernas.clvr-clvb.de;
177;DeFining Capital GmbH;;
6211;pockid GmbH;https://www.pockid.de/;
13092;Tomorrow GmbH;https://www.tomorrow.one/;
4440;Forget X GmbH;https://forget.finance/;
1588;TRADANTS GmbH;https://tradants.com/;
13183;Artellium GmbH;https://www.artellium.ai/;
10493;JT Technologies GmbH;https://www.justtrade.com/;
12454;4less GmbH;https://www.forex4less.com/;
964;Angelize Program GmbH;https://www.angelize.berlin/;
16196;srsfintech UG (haftungsbeschränkt);http://steuergott.com/;
13971;INSTICUBE GmbH;https://insticube.com/;
12380;INPERA GmbH;https://www.inpera.net/;
1621;Fabit GmbH;https://fabit.app/;
8372;TRAXPAY GmbH;https://www.traxpay.com/;
3977;Delightful Finance GmbH;https://www.heyfina.com/;
9141;pay33 direct GmbH;https://www.pay33direct.de/;
3548;Payforce GmbH;;
4972;Say Thank You GmbH;https://pay.tiptab.com/;
10155;Gründergeist GmbH;https://www.gruendergeist.com/;
7887;bridges+links GmbH;https://bridgeslinks.vc/;
11207;Predictive Financing GmbH;https://www.prefin.de/;
4707;kopplr GmbH;http://kopplr.com/;
1746;CoIQ GmbH;https://www.coiq.capital/;
10796;FLEXVELOP GmbH;https://www.flexvelop.com/;
7330;waydear GmbH;https://www.waydear.com;
4901;Banxware GmbH;https://www.banxware.com/;
11592;SPREE Interactive GmbH;https://jointhespree.com/;
12669;CapLab GmbH;https://bcon.zone/;
12134;BoomByte Games GmbH;https://www.boombytegames.com/;
2703;Mixups! GmbH;;
13754;G Esports Holding GmbH;https://www.g2esports.com/;
11805;mHERO GmbH;https://www.mhero.de;
12482;Veritas Entertainment GmbH;https://veritas-entertainment.gg/;
8996;Donut Technologies GmbH;https://www.trydonut.com/;
12511;Ward App GmbH;;
11384;Compositas GmbH;https://www.yarps.net;
480;GamerGrid GmbH;;
6249;Global Esports Entertainment GmbH;https://app.gaming-stars.net/;
7284;fivefingergames GmbH;https://fivefingergames.com/;
4236;GUCO GmbH;https://gucobon.de/;
8662;Xolo GmbH;https://www.xolo3d.com;
4936;SURFTOWN Hallbergmoos GmbH;https://surftown.de/;
7086;traplinked GmbH;https://www.traplinked.com/;
1983;SpiNNcloud Systems GmbH;http://spinncloud.com/;
9455;Cinetica GmbH;http://cinetica.solutions;
328;Massive Beams GmbH;http://massivebeams.com/;
13496;MOD Devices GmbH;https://www.moddevices.com/;
12740;SEON Holding GmbH;https://www.seon.co.za/;
5089;eleQtron GmbH;https://www.eleqtron.com;
8471;Lumoview Building Analytics GmbH;http://www.lumoview.com/;
4237;ImMa Solutions GmbH;https://habitalix.de/;
7577;Pariot Smart Home GmbH;https://www.pariot.de/;
854;Crimson GmbH;https://www.topi.eu;
11549;St. Oberholz GmbH;https://sanktoberholz.de/;
7792;offmade GmbH;https://www.offmade.io;
4392;ECO₂NOMY GmbH;https://www.eco2nomy.de/;
11524;plan4 Software GmbH;https://plan4software.de;
7878;numa group GmbH;https://www.cosi-group.com/de;
11237;DABBEL - Automation Intelligence GmbH;https://www.dabbel.eu/;
10612;Alasco GmbH;https://www.alasco.de/;
10627;Lendis GmbH;https://www.lendis.io;
7854;RIDE GmbH;https://ride.capital/;
4773;tokenstreet GmbH;https://tokenstreet.tech/;
13979;cioplenu GmbH;https://cioplenu.com/;
7072;KT Karlsruhe Technologies GmbH;;
12022;Luminovo GmbH;https://luminovo.ai/;
2204;Makula Technology GmbH;;
4788;REK Innovation GmbH;http://rek-innovation.de/;
11854;Stampack GmbH;https://www.stampack.com;
12845;Uniberry GmbH;https://comydo.com/;
9722;Additive Space GmbH;https://www.additive-space.com/;
13245;fruitcore robotics GmbH;https://fruitcore-robotics.com;
9592;HAT.tec GmbH;https://www.hattec.de;
4174;CampusGenius GmbH;https://campusgenius.com/;
3434;KUNO GmbH;https://www.kuno.io/;
10515;up2parts GmbH;https://www.up2parts.com/;
7020;Deutschdata Karamat und Ziesche GmbH;https://fotonow.ai/;
13089;memetis GmbH;https://www.memetis.com/;
9793;OroraTech GmbH;https://www.ororatech.com/;
13864;Hyperganic Group GmbH;https://www.hyperganic.com/;
4544;Instawerk GmbH;https://instawerk.de/;
1433;Fygen Operations GmbH;https://www.fygen.com/;
8956;Handwerk Connected GmbH;https://handwerkconnected.de;
11962;SI Stuttgart Instruments GmbH;https://www.s-instruments.de;
