id,created_at,register,register_map,region
81,2024-02-21 09:19:16.750648+00,Mannheim,33,ba_wue
123,2024-02-21 09:19:16.750648+00,Stuttgart,95,ba_wue
26,2024-02-21 09:19:16.750648+00,Deggendorf,117,bayern
60,2024-02-21 09:19:16.750648+00,Kempten (Allgäu),121,bayern
59,2024-02-21 09:19:16.750648+00,Kempten,121,bayern
70,2024-02-21 09:19:16.750648+00,Landshut,127,bayern
83,2024-02-21 09:19:16.750648+00,Memmingen,134,bayern
101,2024-02-21 09:19:16.750648+00,Passau,146,bayern
2,2024-02-21 09:19:16.750648+00,Amberg,157,bayern
3,2024-02-21 09:19:16.750648+00,Ansbach,162,bayern
41,2024-02-21 09:19:16.750648+00,Fürth,167,bayern
93,2024-02-21 09:19:16.750648+00,Nürnberg,172,bayern
122,2024-02-21 09:19:16.750648+00,Straubing,179,bayern
5,2024-02-21 09:19:16.750648+00,Aschaffenburg,187,bayern
12,2024-02-21 09:19:16.750648+00,Bamberg,190,bayern
13,2024-02-21 09:19:16.750648+00,Bayreuth,194,bayern
22,2024-02-21 09:19:16.750648+00,Coburg,197,bayern
52,2024-02-21 09:19:16.750648+00,Hof,200,bayern
54,2024-02-21 09:19:16.750648+00,Ingolstadt,212,bayern
15,2024-02-21 09:19:16.750648+00,Berlin (Charlottenburg),217,berlin
14,2024-02-21 09:19:16.750648+00,Berlin,217,berlin
24,2024-02-21 09:19:16.750648+00,Cottbus,228,germany_east
103,2024-02-21 09:19:16.750648+00,Potsdam,252,germany_east
91,2024-02-21 09:19:16.750648+00,Neuruppin,249,germany_east
31,2024-02-21 09:19:16.750648+00,Düsseldorf,441,nrw
85,2024-02-21 09:19:16.750648+00,Mönchengladbach,462,nrw
63,2024-02-21 09:19:16.750648+00,Kleve,454,nrw
68,2024-02-21 09:19:16.750648+00,Krefeld,458,nrw
92,2024-02-21 09:19:16.750648+00,Neuss,442,nrw
71,2024-02-21 09:19:16.750648+00,Langenfeld,444,nrw
98,2024-02-21 09:19:16.750648+00,Osnabrück,439,germany_north
7,2024-02-21 09:19:16.750648+00,Aurich,418,germany_north
96,2024-02-21 09:19:16.750648+00,Oldenburg,428,germany_north
79,2024-02-21 09:19:16.750648+00,Lüneburg,394,germany_north
124,2024-02-21 09:19:16.750648+00,Tostedt,404,germany_north
4,2024-02-21 09:19:16.750648+00,Arnsberg,470,nrw
16,2024-02-21 09:19:16.750648+00,Bielefeld,480,nrw
11,2024-02-21 09:19:16.750648+00,Bad Oeynhausen,487,nrw
17,2024-02-21 09:19:16.750648+00,Bochum,490,nrw
104,2024-02-21 09:19:16.750648+00,Recklinghausen,492,nrw
27,2024-02-21 09:19:16.750648+00,Dortmund,499,nrw
48,2024-02-21 09:19:16.750648+00,Hamm,500,nrw
33,2024-02-21 09:19:16.750648+00,Essen,507,nrw
