startup_id;startup_name;date_incorporated;register_identification_number;register;startup_location;startup_industry;startup_website;startup_linkedin;Unnamed: 9;Unnamed: 10;shareholder_json;list_mds;number_shareholders;number_angels;startup_purpose;link_shareholder_file_2021;register_mapping;startup_industry_mapped;azure_json;error;link_structured_content_file_current;link_SI_file_current;azure_json_2021;shareholder_json_2021
14116;clever unlock UG (haftungsbeschränkt);2021-12-31;HRB 39734;Leipzig;Leipzig;Software;http://cleverunlock.de/;;2.0;;;;;;;;;;;;;;;
14117;APFL Advanced Pet Food Labs UG (haftungsbeschränkt);2021-12-30;HRB 237217 B;Charlottenburg (Berlin);Berlin;eCommerce;;;4.0;;;;;;;;;;;;;;;
14118;AT - Alpi Tech UG (haftungsbeschränkt);2021-12-30;HRB 272118;München;München;Landwirtschaft;https://alpi.tech/;;5.0;;;;;;;;;;;;;;;
14119;avirtually UG (haftungsbeschränkt);2021-12-30;HRB 125874;Frankfurt am Main;Frankfurt am Main;Medien;;;6.0;;;;;;;;;;;;;;;
14120;Blockchain Labs UG (haftungsbeschränkt);2021-12-30;HRB 725697;Freiburg;Rheinfelden Baden;Blockchain / Crypto;;;8.0;;;;;;;;;;;;;;;
14121;Ethernos Technology UG (haftungsbeschränkt);2021-12-30;HRB 237227 B;Charlottenburg (Berlin);Berlin;Software;https://www.ethernos.tech/;https://www.linkedin.com/company/ethernos/;10.0;;;;;;;;;;;;;;;
14122;REnergi UG (haftungsbeschränkt);2021-12-30;HRB 25421;Aachen;Aachen;Energie;https://renergi.de/;;13.0;;;;;;;;;;;;;;;
14123;SeeMe HealthCare Technologies UG (haftungsbeschränkt);2021-12-30;HRB 272116;München;München;Medizin;;;15.0;;;;;;;;;;;;;;;
14124;2GuyGames UG (haftungsbeschränkt);2021-12-29;HRB 36195 P;Potsdam;Potsdam;Gaming;https://www.2guygames.com/;https://www.linkedin.com/company/2guygames/;17.0;;;;;;;;;;;;;;;
14125;The Power for Future UG (haftungsbeschränkt);2021-12-28;HRB 206157;Aurich;Emden;Energie;http://powerforfuture.de/;;34.0;;;;;;;;;;;;;;;
14126;AppsForOrgs Software UG (haftungsbeschränkt);2021-12-27;HRB 742432;Mannheim;Heidelberg;Software;;;35.0;;;;;;;;;;;;;;;
14127;NClip Collectibles UG (haftungsbeschränkt);2021-12-27;HRB 108807;Köln;Overath;Blockchain / Crypto;http://nclip.io/;;43.0;;;;;;;;;;;;;;;
14128;Foodaround UG (haftungsbeschränkt);2021-12-23;HRB 237030 B;Charlottenburg (Berlin);Berlin;Lebensmittel;;;50.0;;;;;;;;;;;;;;;
14129;Ideal Theta UG (haftungsbeschränkt);2021-12-23;HRB 42304;Dresden;Dresden;Gaming;;;51.0;;;;;;;;;;;;;;;
14130;Richtfest Tech UG (haftungsbeschränkt);2021-12-23;HRB 237056 B;Charlottenburg (Berlin);Berlin;Software;http://richtfest.tech/;;54.0;;;;;;;;;;;;;;;
14131;Engagesystems UG (haftungsbeschränkt);2021-12-22;HRB 30746;Stendal;Magdeburg;Software;;;60.0;;;;;;;;;;;;;;;
14132;Jamix - Solutions UG (haftungsbeschränkt);2021-12-22;HRB 222853;Hannover;Hannover;Lebensmittel;http://jamix-solutions.de/;;61.0;;;;;;;;;;;;;;;
