startup_name;date_incorporated
BCN Food Tech GmbH;2021-12-31
clever unlock UG (haftungsbeschränkt);2021-12-31
Craft Clarity GmbH;2021-12-31
APFL Advanced Pet Food Labs UG (haftungsbeschränkt);2021-12-30
AT - Alpi Tech UG (haftungsbeschränkt);2021-12-30
avirtually UG (haftungsbeschränkt);2021-12-30
Bambustex GmbH;2021-12-30
Blockchain Labs UG (haftungsbeschränkt);2021-12-30
Destinaries GmbH;2021-12-30
Ethernos Technology UG (haftungsbeschränkt);2021-12-30
Htwo Power 'n' Heat GmbH;2021-12-30
Q.24 GmbH;2021-12-30
REnergi UG (haftungsbeschränkt);2021-12-30
Revalu Impact AG;2021-12-30
SeeMe HealthCare Technologies UG (haftungsbeschränkt);2021-12-30
XPANSE Powertrain GmbH;2021-12-30
2GuyGames UG (haftungsbeschränkt);2021-12-29
desk.ly GmbH;2021-12-29
Foodwater GmbH;2021-12-29
LeaseHub GmbH;2021-12-29
MAYLA GmbH;2021-12-29
Megavoid Studios GmbH;2021-12-29
OneStop Pro Software Solutions GmbH;2021-12-29
Privory GmbH;2021-12-29
Solarportal GmbH;2021-12-29
Sustainable Manufacturing GmbH;2021-12-29
SUSTAINX GmbH;2021-12-29
VoteBase GmbH;2021-12-29
Altea Vision GmbH;2021-12-28
AVAILY AG;2021-12-28
grammar bricks GmbH;2021-12-28
Njord GmbH;2021-12-28
SECRET MAGIC GmbH;2021-12-28
The Power for Future UG (haftungsbeschränkt);2021-12-28
AppsForOrgs Software UG (haftungsbeschränkt);2021-12-27
detective.solutions GmbH;2021-12-27
Griffig Robotics GmbH;2021-12-27
GröGo Gemüseabo GmbH;2021-12-27
Iteration One GmbH;2021-12-27
Kinus GmbH;2021-12-27
Layover Solutions GmbH;2021-12-27
Native Technology Education GmbH;2021-12-27
NClip Collectibles UG (haftungsbeschränkt);2021-12-27
ProductionPool GmbH;2021-12-27
SenCircle GmbH;2021-12-27
STAI GmbH;2021-12-27
United Food Kits GmbH;2021-12-27
Valkental GmbH;2021-12-27
allcompare GmbH;2021-12-23
Foodaround UG (haftungsbeschränkt);2021-12-23
Ideal Theta UG (haftungsbeschränkt);2021-12-23
metiundo GmbH;2021-12-23
Mnmytnt GmbH;2021-12-23
Richtfest Tech UG (haftungsbeschränkt);2021-12-23
Willgood Technology GmbH;2021-12-23
Building Enerlytics GmbH;2021-12-22
Cryptoticker.io GmbH;2021-12-22
DARYSE GmbH;2021-12-22
Dascai GmbH;2021-12-22
Engagesystems UG (haftungsbeschränkt);2021-12-22
Jamix - Solutions UG (haftungsbeschränkt);2021-12-22
jus&jar GmbH;2021-12-22
NFT Games Analytics UG (haftungsbeschränkt);2021-12-22
ONTHEGO GmbH;2021-12-22
Pexam GmbH;2021-12-22
POCT Technologies GmbH;2021-12-22
Scopewire Data GmbH;2021-12-22
SetActive Media UG (haftungsbeschränkt);2021-12-22
Smart Textiles Hub GmbH;2021-12-22
