name_x,name_y,CoInvestments
AENU_Fund_SCA_SICAV-RAIF,ARES_CAPITAL_ADVISERS_GmbH,1
AENU_Fund_SCA_SICAV-RAIF,Aurum_Impact_Invest_GmbH,1
AENU_Fund_SCA_SICAV-RAIF,Kupke_GmbH,1
AENU_Fund_SCA_SICAV-RAIF,Vesta_Venture_Holding_GmbH,1
AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),Entrepreneur_First_Operations_Limited,1
AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),La_Plata_GmbH,1
AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),Manoa_Ventures_GmbH,1
AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),another.vc_GmbH,1
AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),eNugget_Ventures_UG_(haftungsbeschrankt),1
ARES_CAPITAL_ADVISERS_GmbH,AENU_Fund_SCA_SICAV-RAIF,1
ARES_CAPITAL_ADVISERS_GmbH,Aurum_Impact_Invest_GmbH,1
ARES_CAPITAL_ADVISERS_GmbH,Meinhardt_Ventures_UG_(haftungsbeschrankt),1
ARES_CAPITAL_ADVISERS_GmbH,Vesta_Venture_Holding_GmbH,1
Alexander_Ludwig_Friedrich_Christian_Fuchs,Companisto_Trust_Service_XVII_GmbH,2
Alexander_Ludwig_Friedrich_Christian_Fuchs,Dr._Alfred_Heinrich_Georg_Spieker,2
Alvio_GmbH,DSR_Ventures_GmbH,1
Alvio_GmbH,La_Plata_GmbH,1
Alvio_GmbH,Lino_GmbH,2
Alvio_GmbH,Manoa_Ventures_GmbH,1
Alvio_GmbH,Mercutio_GmbH,1
Alvio_GmbH,PK_Projects_GmbH,2
Alvio_GmbH,Picus_Capital_GmbH,1
Alvio_GmbH,Possible_Ventures_II_GmbH_&_Co._KG,1
Alvio_GmbH,ROMM_Holding_GmbH,1
Alvio_GmbH,Roskopf_Ventures_GmbH,1
Alvio_GmbH,Sebastian_Schuon_Investments_GmbH,1
Atlantic_Food_Labs_Vintage_GmbH_&_Co._KG,PK_Projects_GmbH,1
Atlantic_Food_Labs_Vintage_GmbH_&_Co._KG,SEK_Ventures_GmbH,1
Atlantic_Food_Labs_Vintage_I_GmbH_&_Co._KG,Simon_Capital_GmbH_&_Co._KG,1
Aurum_Impact_Invest_GmbH,AENU_Fund_SCA_SICAV-RAIF,1
Aurum_Impact_Invest_GmbH,ARES_CAPITAL_ADVISERS_GmbH,1
Aurum_Impact_Invest_GmbH,Vesta_Venture_Holding_GmbH,1
Bayern_Kapital_Innovationsfonds_EFRE_GmbH_&_Co._KG,High-Tech_Griinderfonds_IV_GmbH_&_Co._KG,2
Charles_Songhurst,Rivus_Ventures_GmbH,1
Charles_Songhurst,another.vc_GmbH,1
Companisto_Trust_Service_XVII_GmbH,Alexander_Ludwig_Friedrich_Christian_Fuchs,2
Companisto_Trust_Service_XVII_GmbH,Dr._Alfred_Heinrich_Georg_Spieker,2
DSR_Ventures_GmbH,Alvio_GmbH,1
DSR_Ventures_GmbH,La_Plata_GmbH,1
DSR_Ventures_GmbH,Lino_GmbH,1
DSR_Ventures_GmbH,Manoa_Ventures_GmbH,1
DSR_Ventures_GmbH,Mercutio_GmbH,1
DSR_Ventures_GmbH,PK_Projects_GmbH,1
DSR_Ventures_GmbH,Picus_Capital_GmbH,1
DSR_Ventures_GmbH,ROMM_Holding_GmbH,1
DSR_Ventures_GmbH,Roskopf_Ventures_GmbH,1
DSR_Ventures_GmbH,Sebastian_Schuon_Investments_GmbH,1
DSR_Ventures_GmbH,Wax_Venture_UG,1
Dr._Alfred_Heinrich_Georg_Spieker,Alexander_Ludwig_Friedrich_Christian_Fuchs,2
Dr._Alfred_Heinrich_Georg_Spieker,Companisto_Trust_Service_XVII_GmbH,2
Entrepreneur_First_Operations_Limited,AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),1
Entrepreneur_First_Operations_Limited,another.vc_GmbH,1
Entrepreneur_First_Operations_Limited,eNugget_Ventures_UG_(haftungsbeschrankt),2
HW_Capital_GmbH,Main_Incubator_GmbH,1
HW_Capital_GmbH,WENVEST_Capital_GmbH,1
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Ashok_Varadharajan,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Gopi_Kannappan,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Saravanan_Jaichandaran,2
Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,Herr_Vijay_Pravin_Maharajan,2
Herr_Ashok_Varadharajan,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Ashok_Varadharajan,Herr_Gopi_Kannappan,2
Herr_Ashok_Varadharajan,Herr_Saravanan_Jaichandaran,2
Herr_Ashok_Varadharajan,Herr_Vijay_Pravin_Maharajan,2
Herr_Gopi_Kannappan,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Gopi_Kannappan,Herr_Ashok_Varadharajan,2
Herr_Gopi_Kannappan,Herr_Saravanan_Jaichandaran,2
Herr_Gopi_Kannappan,Herr_Vijay_Pravin_Maharajan,2
Herr_Saravanan_Jaichandaran,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Saravanan_Jaichandaran,Herr_Ashok_Varadharajan,2
Herr_Saravanan_Jaichandaran,Herr_Gopi_Kannappan,2
Herr_Saravanan_Jaichandaran,Herr_Vijay_Pravin_Maharajan,2
Herr_Vijay_Pravin_Maharajan,Herr_Ajay_Prashanth_Narasaraju_Gajendraraju,2
Herr_Vijay_Pravin_Maharajan,Herr_Ashok_Varadharajan,2
Herr_Vijay_Pravin_Maharajan,Herr_Gopi_Kannappan,2
Herr_Vijay_Pravin_Maharajan,Herr_Saravanan_Jaichandaran,2
High-Tech_Griinderfonds_IV_GmbH_&_Co._KG,Bayern_Kapital_Innovationsfonds_EFRE_GmbH_&_Co._KG,2
Kupke_GmbH,AENU_Fund_SCA_SICAV-RAIF,1
La_Plata_GmbH,AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),1
La_Plata_GmbH,Alvio_GmbH,1
La_Plata_GmbH,DSR_Ventures_GmbH,1
La_Plata_GmbH,Lino_GmbH,1
La_Plata_GmbH,Manoa_Ventures_GmbH,2
La_Plata_GmbH,Mercutio_GmbH,1
La_Plata_GmbH,PK_Projects_GmbH,1
La_Plata_GmbH,ROMM_Holding_GmbH,1
La_Plata_GmbH,Roskopf_Ventures_GmbH,1
Lino_GmbH,Alvio_GmbH,2
Lino_GmbH,DSR_Ventures_GmbH,1
Lino_GmbH,La_Plata_GmbH,1
Lino_GmbH,Manoa_Ventures_GmbH,1
Lino_GmbH,Mercutio_GmbH,1
Lino_GmbH,PK_Projects_GmbH,2
Lino_GmbH,ROMM_Holding_GmbH,1
Lino_GmbH,Roskopf_Ventures_GmbH,1
Lino_GmbH,Sebastian_Schuon_Investments_GmbH,1
Main_Incubator_GmbH,HW_Capital_GmbH,1
Main_Incubator_GmbH,Rivus_Ventures_GmbH,1
Main_Incubator_GmbH,Simon_Capital_GmbH_&_Co._KG,1
Main_Incubator_GmbH,WENVEST_Capital_GmbH,1
Manoa_Ventures_GmbH,AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),1
Manoa_Ventures_GmbH,Alvio_GmbH,1
Manoa_Ventures_GmbH,DSR_Ventures_GmbH,1
Manoa_Ventures_GmbH,La_Plata_GmbH,2
Manoa_Ventures_GmbH,Lino_GmbH,1
Manoa_Ventures_GmbH,Mercutio_GmbH,1
Manoa_Ventures_GmbH,PK_Projects_GmbH,1
Manoa_Ventures_GmbH,ROMM_Holding_GmbH,1
Manoa_Ventures_GmbH,Roskopf_Ventures_GmbH,1
Meinhardt_Ventures_UG_(haftungsbeschrankt),ARES_CAPITAL_ADVISERS_GmbH,1
Mercutio_GmbH,Alvio_GmbH,1
Mercutio_GmbH,DSR_Ventures_GmbH,1
Mercutio_GmbH,La_Plata_GmbH,1
Mercutio_GmbH,Lino_GmbH,1
Mercutio_GmbH,Manoa_Ventures_GmbH,1
Mercutio_GmbH,PK_Projects_GmbH,1
Mercutio_GmbH,ROMM_Holding_GmbH,2
Mercutio_GmbH,Roskopf_Ventures_GmbH,2
PK_Projects_GmbH,Alvio_GmbH,2
PK_Projects_GmbH,Atlantic_Food_Labs_Vintage_GmbH_&_Co._KG,1
PK_Projects_GmbH,DSR_Ventures_GmbH,1
PK_Projects_GmbH,La_Plata_GmbH,1
PK_Projects_GmbH,Lino_GmbH,2
PK_Projects_GmbH,Manoa_Ventures_GmbH,1
PK_Projects_GmbH,Mercutio_GmbH,1
PK_Projects_GmbH,ROMM_Holding_GmbH,1
PK_Projects_GmbH,Roskopf_Ventures_GmbH,1
PK_Projects_GmbH,SEK_Ventures_GmbH,1
PK_Projects_GmbH,Sebastian_Schuon_Investments_GmbH,1
Picus_Capital_GmbH,Alvio_GmbH,1
Picus_Capital_GmbH,DSR_Ventures_GmbH,1
Picus_Capital_GmbH,Possible_Ventures_II_GmbH_&_Co._KG,1
Picus_Capital_GmbH,Sebastian_Schuon_Investments_GmbH,1
Picus_Capital_GmbH,Wax_Venture_UG,1
Possible_Ventures_II_GmbH_&_Co._KG,Alvio_GmbH,1
Possible_Ventures_II_GmbH_&_Co._KG,Picus_Capital_GmbH,1
ROMM_Holding_GmbH,Alvio_GmbH,1
ROMM_Holding_GmbH,DSR_Ventures_GmbH,1
ROMM_Holding_GmbH,La_Plata_GmbH,1
ROMM_Holding_GmbH,Lino_GmbH,1
ROMM_Holding_GmbH,Manoa_Ventures_GmbH,1
ROMM_Holding_GmbH,Mercutio_GmbH,2
ROMM_Holding_GmbH,PK_Projects_GmbH,1
ROMM_Holding_GmbH,Roskopf_Ventures_GmbH,2
Rivus_Ventures_GmbH,Charles_Songhurst,1
Rivus_Ventures_GmbH,Main_Incubator_GmbH,1
Rivus_Ventures_GmbH,Simon_Capital_GmbH_&_Co._KG,1
Rivus_Ventures_GmbH,another.vc_GmbH,1
Roskopf_Ventures_GmbH,Alvio_GmbH,1
Roskopf_Ventures_GmbH,DSR_Ventures_GmbH,1
Roskopf_Ventures_GmbH,La_Plata_GmbH,1
Roskopf_Ventures_GmbH,Lino_GmbH,1
Roskopf_Ventures_GmbH,Manoa_Ventures_GmbH,1
Roskopf_Ventures_GmbH,Mercutio_GmbH,2
Roskopf_Ventures_GmbH,PK_Projects_GmbH,1
Roskopf_Ventures_GmbH,ROMM_Holding_GmbH,2
SEK_Ventures_GmbH,Atlantic_Food_Labs_Vintage_GmbH_&_Co._KG,1
SEK_Ventures_GmbH,PK_Projects_GmbH,1
Sebastian_Schuon_Investments_GmbH,Alvio_GmbH,1
Sebastian_Schuon_Investments_GmbH,DSR_Ventures_GmbH,1
Sebastian_Schuon_Investments_GmbH,Lino_GmbH,1
Sebastian_Schuon_Investments_GmbH,PK_Projects_GmbH,1
Sebastian_Schuon_Investments_GmbH,Picus_Capital_GmbH,1
Sebastian_Schuon_Investments_GmbH,Wax_Venture_UG,1
Simon_Capital_GmbH_&_Co._KG,Atlantic_Food_Labs_Vintage_I_GmbH_&_Co._KG,1
Simon_Capital_GmbH_&_Co._KG,Main_Incubator_GmbH,1
Simon_Capital_GmbH_&_Co._KG,Rivus_Ventures_GmbH,1
Vesta_Venture_Holding_GmbH,AENU_Fund_SCA_SICAV-RAIF,1
Vesta_Venture_Holding_GmbH,ARES_CAPITAL_ADVISERS_GmbH,1
Vesta_Venture_Holding_GmbH,Aurum_Impact_Invest_GmbH,1
WENVEST_Capital_GmbH,HW_Capital_GmbH,1
WENVEST_Capital_GmbH,Main_Incubator_GmbH,1
Wax_Venture_UG,DSR_Ventures_GmbH,1
Wax_Venture_UG,Picus_Capital_GmbH,1
Wax_Venture_UG,Sebastian_Schuon_Investments_GmbH,1
another.vc_GmbH,AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),1
another.vc_GmbH,Charles_Songhurst,1
another.vc_GmbH,Entrepreneur_First_Operations_Limited,1
another.vc_GmbH,Rivus_Ventures_GmbH,1
another.vc_GmbH,eNugget_Ventures_UG_(haftungsbeschrankt),1
eNugget_Ventures_UG_(haftungsbeschrankt),AKVaganza_Unternehmergesellschaft_(haftungsbeschrankt),1
eNugget_Ventures_UG_(haftungsbeschrankt),Entrepreneur_First_Operations_Limited,2
eNugget_Ventures_UG_(haftungsbeschrankt),another.vc_GmbH,1
