#,Company_Name,Aktenzeichen,Date_Incorporation,CMP_Status,Amtsgericht,Street,Postcode,City,Industry,WZ2008,Startup_Website,LinkedIn_URL,Crunchbase_URL,Northdata_URL,Comment,Founding_Team_Size
1,BCN Food Tech GmbH,HRB 272187,2021-12-31,A,München,Pestalozzistraße 34,D-80469,München,Lebensmittel,10,–,–,–,"https://www.northdata.com/BCN+Food+Tech+GmbH,+M%C3%BCnchen/HRB+272187",,1
2,clever unlock UG (haftungsbeschränkt),HRB 39734,2021-12-31,A,Leipzig,Mörikestraße 14,D-04129,Leipzig,Software,62,http://cleverunlock.de/,https://www.linkedin.com/company/clever-unlock/,–,"https://www.northdata.de/clever+unlock+UG,+Leipzig/HRB+39734",side hustle,1
3,Craft Clarity GmbH,HRB 272192,2021-12-31,A,München,Steinerstraße 15/Haus C,D-81369,München,Dienstleistung,70,https://craft-clarity.com/,https://www.linkedin.com/company/craft-clarity/,–,"https://www.northdata.com/Craft+Clarity+GmbH,+M%C3%BCnchen/HRB+272192",startup,5
4,APFL Advanced Pet Food Labs UG (haftungsbeschränkt),HRB 237217 B,2021-12-30,A,Charlottenburg (Berlin),"c/o Leandro Vergani, Rankestraße 32",D-10789,Berlin,eCommerce,10,–,–,–,"https://www.northdata.com/APFL+Advanced+Pet+Food+Labs+GmbH,+Berlin/Amtsgericht+Charlottenburg+%28Berlin%29+HRB+237217+B",,3
5,AT - Alpi Tech UG (haftungsbeschränkt),HRB 272118,2021-12-30,A,München,Tal 44,D-80331,München,Landwirtschaft,28,https://alpi.tech/,–,–,"https://www.northdata.de/AT+-+Alpi+Tech+UG,+M%C3%BCnchen/HRB+272118",side hustle / freelance consulting,1
6,avirtually UG (haftungsbeschränkt),HRB 125874,2021-12-30,A,Frankfurt am Main,Jahnstraße 56,D-60318,Frankfurt am Main,Medien,62,https://virtual-boat-show.com/,https://www.linkedin.com/company/virtual-boat-show/,–,"https://www.northdata.de/avirtually+UG,+Frankfurt+a.+Main/Amtsgericht+Frankfurt+am+Main+HRB+125874",side hustle / freelance consulting,2
7,Bambustex GmbH,HRB 725691,2021-12-30,A,Freiburg,Am Spitalberg 8,D-77654,Offenburg,eCommerce,13,https://www.bambustex.de/,–,–,"https://www.northdata.de/Pepper+and+Salt+Events+GmbH,+Offenburg/Amtsgericht+Freiburg+HRB+725691",,1
8,Blockchain Labs UG (haftungsbeschränkt),HRB 725697,2021-12-30,A,Freiburg,Schloss Beuggen 3,D-79618,Rheinfelden Baden,Blockchain / Crypto,62,–,–,–,"https://www.northdata.de/Blockchain+Labs+GmbH,+Rheinfelden+%28Baden%29/Amtsgericht+Freiburg+HRB+725697",,3
9,Destinaries GmbH,HRB 206590,2021-12-30,A,Göttingen,Alte Dorfstraße 44a,D-37120,Bovenden,Tourismus,62,https://www.destinaries.com/,–,–,"https://www.northdata.de/Destinaries+GmbH,+Bovenden/Amtsgericht+G%C3%B6ttingen+HRB+206590",,2
10,Ethernos Technology UG (haftungsbeschränkt),HRB 237227 B,2021-12-30,A,Charlottenburg (Berlin),"c/o Calin-Laurentiu Popescu, Streustraße 66",D-13086,Berlin,Software,62,https://www.ethernos.tech/,https://www.linkedin.com/company/ethernos/,–,"https://www.northdata.de/Ethernos+Technology+UG,+Berlin/Amtsgericht+Charlottenburg+%28Berlin%29+HRB+237227+B",side hustle / freelance consulting,1
11,Htwo Power 'n' Heat GmbH,HRB 36196 P,2021-12-30,A,Potsdam,Templiner Straße 19 B,D-14473,Potsdam,Energie,27,https://www.power-n-heat.com/,https://www.linkedin.com/company/h2powerheat/,–,"https://www.northdata.de/Htwo+Power+%27n+Heat+GmbH,+Potsdam/HRB+36196",startup,3
12,Q.24 GmbH,HRB 10179,2021-12-30,A,Iserlohn,Humboldtstraße 8a,D-58553,Halver,Hardware,26,,–,–,"https://www.northdata.de/Q.24+GmbH,+Halver/Amtsgericht+Iserlohn+HRB+10179",investment holding,1
13,REnergi UG (haftungsbeschränkt),HRB 25421,2021-12-30,A,Aachen,Tielmanweg 2,D-52074,Aachen,Energie,62,https://renergi.de/,–,–,"https://www.northdata.de/REnergi+UG,+Aachen/HRB+25421",,1
