name1,name2,score
tldv,Solarportal GmbH,49
SyncReality,Autobahn Security GmbH,54
iotis,iotis GmbH,90
Yunex Traffic,NBRX AG,51
Briink,Briink Intelligence GmbH,90
Bestgameprice.net,Petaments GmbH,49
Hawa Dawa,Hamwa GmbH,53
ngena,Zahnvergnügen GmbH,76
pado,Listando GmbH,68
Freshflow,Freshflow GmbH,90
Recare,RECREWT GmbH,75
Wildplastic,Plastic2Beans GmbH,58
SmartNanotubes Technologies,Smart Contracts Technologies AG,76
Onstruc,Digital Construction Industry GmbH,90
Lignopure GmbH,Htwo Power 'n' Heat GmbH,86
Agrivero.ai,Teamsports AI GmbH,86
luca,Luc & Dan´s Food Lab GmbH,74
Turbo,Naturkomponisten GmbH,72
Priv,Privory GmbH,90
rubarb,sinnesräuber GmbH,62
Guild,Building Enerlytics GmbH,72
Volders,Founders1 GmbH,64
Qreuz,RURERU GmbH,57
CryptoTicker,Cryptoticker.io GmbH,90
JANSZKY GmbH,BCN Food Tech GmbH,86
benchANT,BenchTech GmbH,68
Innocent Meat,,60
Clinomic,Horizon Microtechnologies GmbH,56
Assembly,7Assets GmbH,60
EGYM,VoteBase GmbH,68
Mosaeek,Rosales Health & Beauty GmbH,53
PlanBlue,Blue Planet Food GmbH,61
Voltfang,Voltfang GmbH,90
Dropp,Hydroplace GmbH,72
SellerX,Brandmann Destillerie GmbH,64
Billie,teambilling GmbH,75
Razor Group,Yoove Mobility Group Holding GmbH,86
Gorillas,GoKarla GmbH,57
Habyt,Haystack Oncology GmbH,72
paretos,Rail-Parts GmbH,64
Ruuky,storky GmbH,64
Celonis,Akhetonics GmbH,64
wewave,eezewave GmbH,75
Aleph Alpha,Alephnet GmbH,58
Meine Erde,LCS Lean Compliance Services GmbH,54
Enpal,Valkental GmbH,72
Tomorrow,tornero GmbH,57
Yepoda,Charlie Production GmbH,60
Xentral,Valkental GmbH,66
DeskNow,Opedesk GmbH,62
Dance,Danceflavors GmbH,90
Legendairy Foods,Nature Foods Deutschland GmbH,86
sennder,Thanatos Entertainment GmbH,64
Enote,Visiolumen Technologie GmbH,72
Ducktrain,Charlie Production GmbH,64
Actaport,simercator GmbH,57
Adragos Pharma,APO Pharma Immun GmbH,86
Megabad,Omega Grey GmbH,62
Erste Hausverwaltung GmbH,Bambustex GmbH,86
Qli5 Therapeutics,Centaura Therapeutics GmbH,86
Valyria,Calystral Games GmbH,64
CoachHub,Coachwhisperer GmbH,68
Mika,PIKAVA GmbH,68
Efficient Energy,Intelligent Energy Transformation GmbH,86
Kittl,big little things GmbH,72
DiscoEat,movediscover GmbH,68
iVE.ONE,Iteration One GmbH,86
Gaming Star,ARTtention Gaming GmbH,86
Quantron,Quantagonia GmbH,68
RIDE Capital,DeFining Capital GmbH,86
OneFootball,Football Elevaitor GmbH,70
Cashlink,Tap2Link GmbH,56
cleverly.de,TraumImmo.de GmbH,86
LENZBOX,Talerbox GmbH,66
8returns,OP_RETURN GmbH,68
datazeit GmbH,Htwo Power 'n' Heat GmbH,86
Lukso,MONITOR Plus GmbH,64
wefox,SelfX GmbH,57
Innovative Molecules,Innovative Robot Delivery GmbH,86
smart innovators,Center Smart Industrial Agriculture GmbH,86
Scantinel Photonics,Photonics Precision Engineering GmbH,86
Nuventura,FinToVentures GmbH,70
Blockchain HELIX AG,AVAILY AG,86
eyelevel,elevate Solutions GmbH,56
Fractal,sereact GmbH,57
GCN Global Comparison Network,AWA Network GmbH,86
Greenforce,GREENFORCE FUTURE FOOD AG,90
Matter Labs,Bergsonne Labs GmbH,86
Localyze,LocalHeroBox GmbH,68
Flink Food,BCN Food Tech GmbH,86
snuggs,uSinus ECG Diagnostics GmbH,60
FibreCoat,faircations GmbH,60
Gunzilla Games,Neomateria Games GmbH,86
Flexcavo,REFLEX aerospace GmbH,57
Solsten,Coldsense Technologies GmbH,64
Apryl,Prylix GmbH,72
Precisis,Photonics Precision Engineering GmbH,79
xRouten,SOLAROUTE GmbH,66
n8n,Wynn Petfood GmbH,68
Truckoo,Digital Construction Industry GmbH,64
Solarisbank,,60
Stratosphere Games,Resphere GmbH,65
KILT Protocol,Proton Camera Innovations GmbH,50
Palturai,Ambitional Training Labs GmbH,68
Grover,Bearcover GmbH,75
The bina School,The Future Living INT GmbH,86
N26,Season6 GmbH,68
Unstoppable Finance,Unstoppable Finance GmbH,95
Coboworx,RAUM virtual collaboration GmbH,56
MONDAY.ROCKS,,60
Manyfolds,,60
Casculate,Casculate GmbH,90
fruitcore robotics,ESR EINSTEIN SURGICAL ROBOTICS GmbH,86
Avi Medical,PISM-Medical GmbH,86
conductiv.ai,Teamsports AI GmbH,86
NEURA Robotics,Griffig Robotics GmbH,86
heartstocks,regionalheart GmbH,53
EqualTo,equalchamps GmbH,64
Betriebsmittelhelden,Betriebsmittelhelden GmbH,95
Hive,urbanhive GmbH,90
Urbyo,Urbyo GmbH,90
Agrando,Kurando GmbH,64
Airfarm,Organifarms GmbH,77
commercetools,retailmediatools GmbH,49
Actome,Patme GmbH,68
DIDIT,use2go Digital GmbH,72
Chrono24,Chronos M GmbH,68
WETHEBRANDS (formerly Amazing Brands Group,DIGITAL VISION GROUP GmbH,86
keleya,elevate Solutions GmbH,60
resonanz energy,,90
Vanilla Steel,,60
SimScale,Musical Bits GmbH,66
FastDisruption,bilateralstimulation.io BLS GmbH,58
Yababa,Yababa GmbH,90
Bareways,Batalyse GmbH,56
JoinMyTrip,Matrix42 Holding GmbH,51
Tomorrow Biostasis,omono GmbH,54
3spin Learning,Digital Learning GmbH,86
Patient 21,Eat 21 Foodlabs GmbH,86
Carbonfuture,Conscious Future GmbH,60
Recunited,Recunited GmbH,90
Makersite,the matchmakers GmbH,67
OptioPay,Optalio GmbH,57
Raquest,CQuest GmbH,64
Linearity,,60
AreaOne,cargonerds GmbH,64
Lition Energie,WRS Energie + Druckluft GmbH,86
nextmarkets,Center Smart Industrial Agriculture GmbH,50
ottonova,Proton Camera Innovations GmbH,56
Urban Ground,Urban Organics GmbH,86
Passbase,Paper Pass GmbH,57
igetnow,igetnow GmbH,90
PosterLab,e-tailbooster GmbH,60
Hier Foods,Gaudy Foods GmbH,86
KeepLocal,Keepoala GmbH,64
Packmatic,Packmatic GmbH,90
tantum sana GmbH,Htwo Power 'n' Heat GmbH,86
osentec,Thanatos Entertainment GmbH,77
b.fab,L.A.B. Cosmetics GmbH,86
Twinner,TwinOne GmbH,77
Compado,allcompare GmbH,64
Feebris,Offerista Group GmbH,64
Infarm,Coinformation GmbH,75
zolar,Solarportal GmbH,72
Medipee,medizen GmbH,64
VYTAL,Polytalon GmbH,72
Hygraph,Grapes GmbH,61
Robotise,Griffig Robotics GmbH,79
Pottsalat,Solarportal GmbH,57
FELS Group - FollowMyMoney,MAYD Group GmbH,86
WorkMotion,Coinformation GmbH,63
CURE,PROCURELY GmbH,90
Personio,AISuperVision GmbH,68
project bcause,ORILABO Project GmbH,64
FERNRIDE,Storeberries GmbH,57
Composable Finance,,90
VoltStorage,gut.org invest GmbH,54
SONAH GmbH,BCN Food Tech GmbH,86
Bitadata,Scopewire Data GmbH,56
HarvestAi,MicroHarvest GmbH,75
